comuna,pobreza_d,pobreza_ext_d,pobreza_multi_4d,pobreza_multi_5d
9116,.32339829,.066463009,.513476860484828,.5433124258348873
9117,.25645405,.10372463,.2530902561977764,.2916235066639044
9118,.4319801,.163293,.4630026171782061,.5419938139424221
9119,.3539834,.094412334,.378000854335754,.4894489534387014
9120,.11869679,.045948662,.2460584047186641,.2712554516632602
9121,.46297014,.1509306,.5877719799153294,.6893767844836074
9201,.15221182,.026902648,.1775860254656424,.1961754875830266
9202,.24986272,.047226798,.3069317023445464,.3433045468733743
9203,.12234195,.031034483,.1724856321839081,.2095545977011494
9204,.20706205,.059993144,.4960055574852379,.5208984601134653
9205,.35571152,.088466153,.6071895424836601,.6677871148459383
9206,.22741549,.088305928,.3820224719101123,.404418828049952
9207,.33214405,.1056974,.4314438259684198,.5558408215661104
9208,.13106473,.047755219,.3111625216888375,.3499132446500868
9209,.14841196,.023820644,.129725812296171,.1405966904215485
9210,.2043004,.045372389,.2924436358911052,.310578426263679
9211,.23256867,.10859451,.3264243582561703,.3346840075812039
10101,.11744595,.038316533,.205944990710952,.2235073554981026
10102,.12956414,.035016596,.4018500621289521,.4476570567385783
10104,.18177746,.035119154,.2925970536458816,.3294728064486241
10105,.080602348,.03185093,.2779396928595449,.2815315315315315
10106,.089841418,.02707186,.2860145074910175,.3439766795471493
10107,.16777532,.059391826,.1759940304871549,.1938492698006609
10108,.1730136,.029637761,.2691683049833319,.343619112744679
10109,.053173959,.0062202625,.2071600192215281,.2149010308280501
10201,.11170303,.018926371,.192283185840708,.2339853213624056
10202,.16174755,.061266169,.197294905827329,.2394886723199595
10203,.11750912,.05536738,.2837559060358022,.350013451708367
10204,.17248908,.021834061,.2117903930131004,.2117903930131004
10205,.095274642,0,.1846282372598162,.2127504349290084
10206,.12653689,0,.4487704918032787,.5066598360655737
10207,.21746846,.071372241,.3556782334384858,.442429022082019
10208,.13243526,.053960789,.3728844309670062,.4510513928044901
10209,.23844363,.026272032,.2943132690389092,.4452770208900999
